"Some metadata for the PAL1314 DOC samples used for UV-VIS spectrophotometer absorbance measurements; sample ID corresponds to the sample ID in the table imported from ""PAL1314_LMG1401_UV_VIS_seawater_absorbance_Evolution_300.csv""",,,
Sample_ID,Depth_m,PAL_LTER_Station_ID,Date
X041.PAL1314.DOC21.BATS0.2um,20,B,24-Dec-13
X048.PAL1314.DOC10.BATS0.2um,20,B,12-Dec-13
X049.PAL1314.DOC11.BATS0.2um,10,B,12-Dec-13
X050.PAL1314.DOC12.BATS0.2um,5,B,12-Dec-13
X051.PAL1314.DOC22.BATS0.2um,10,B,24-Dec-13
X052.PAL1314.DOC23.BATS0.2um,5,B,24-Dec-13
X053.PAL1314.DOC24.BATS0.2um,0,B,24-Dec-13
X055.PAL1314.DOC32.BATS0.2um,10,E,27-Dec-13
X056.PAL1314.DOC33.BATS0.2um,5,E,27-Dec-13
X057.PAL1314.DOC34.BATS0.2um,0,E,27-Dec-13
X058.PAL1314.DOC38.BATS0.2um,20,B,27-Dec-13
X059.PAL1314.DOC39.BATS0.2um,10,B,27-Dec-13
X061.PAL1314.DOC41.BATS0.2um,0,B,27-Dec-13